k,ruta,paso,sim
30,REM,5,-0.19937951862812042
30,REM,6,-0.20957084000110626
30,SWS,0,1.0000001192092896
30,SWS,1,0.6251570582389832
30,SWS,2,0.4065834879875183
30,SWS,3,0.15379004180431366
30,SWS,4,-0.00843539647758007
30,SWS,5,-0.018636547029018402
30,SWS,6,0.1088152527809143
31,REM,0,1.0
31,REM,1,0.68369460105896
31,REM,2,0.42379048466682434
31,REM,3,0.1283390074968338
31,REM,4,0.0615687295794487
31,REM,5,-0.14258550107479095
31,REM,6,-0.1651543527841568
31,SWS,0,1.0
31,SWS,1,0.6566212773323059
31,SWS,2,0.3315381705760956
31,SWS,3,0.006484878249466419
31,SWS,4,-0.17131340503692627
31,SWS,5,-0.11633391678333282
31,SWS,6,-0.17358388006687164
32,REM,0,1.0
32,REM,1,0.74839186668396
32,REM,2,0.4901004433631897
32,REM,3,0.038293879479169846
32,REM,4,0.1405392587184906
32,REM,5,0.28023603558540344
32,REM,6,0.2945556044578552
32,SWS,0,1.0
32,SWS,1,0.7174156308174133
32,SWS,2,0.41510796546936035
32,SWS,3,0.18421578407287598
32,SWS,4,-0.06364037841558456
32,SWS,5,-0.044108543545007706
32,SWS,6,-0.03041122481226921
33,REM,0,0.9999998807907104
33,REM,1,0.7188522815704346
33,REM,2,0.5131828188896179
33,REM,3,0.21207182109355927
33,REM,4,0.07594119012355804
33,REM,5,0.16065117716789246
33,REM,6,0.09122276306152344
33,SWS,0,0.9999998807907104
33,SWS,1,0.6662744283676147
33,SWS,2,0.3982962965965271
33,SWS,3,0.12738625705242157
33,SWS,4,0.12633618712425232
33,SWS,5,0.12052594125270844
33,SWS,6,-0.08506514877080917
34,REM,0,1.0
34,REM,1,0.6951055526733398
34,REM,2,0.37885597348213196
34,REM,3,0.17266622185707092
34,REM,4,-0.07242933660745621
34,REM,5,0.08133889734745026
34,REM,6,-0.11032522469758987
34,SWS,0,1.0
34,SWS,1,0.677406370639801
34,SWS,2,0.3834056556224823
34,SWS,3,0.18699929118156433
34,SWS,4,0.150711327791214
34,SWS,5,-0.1058904305100441
34,SWS,6,-0.06730999052524567
35,REM,0,0.9999998807907104
35,REM,1,0.6730114221572876
35,REM,2,0.38325953483581543
35,REM,3,0.3685426414012909
35,REM,4,0.06555832922458649
35,REM,5,-0.10311878472566605
